LOCATION,INTERSECTION,DAY,START TIME,END TIME,START DATE,END DATE,WEBSITE,TYPE,LINK ACCEPTED,LATITUDE,LONGITUDE,MAP
Near West Side,Location TBD,Saturday,4:00 PM,8:00 PM,,,http://chicagofarmersmarkets.us,Neighborhood,Y,,,
Chicago Botanic Garden's Windy City Harvest (Lawndale),3750 W. Ogden Ave.,Wednesday,9:00 AM,1:00 PM,07/08/2015,10/07/2015,http://chicagobotanic.org/urbanagriculture,Independent,Y,41.8533645,-87.7192132,"(41.8533645, -87.7192132)"
Andersonville Farmers Market,1500 W. Berwyn (between Clark and Ashland),Wednesday,3:00 PM,8:00 PM,05/20/2015,10/14/2015,http://andersonville.org/events/andersonvillefarmers-market/,Independent,Y,41.9780083,-87.6683433,"(41.9780083, -87.6683433)"
Portage Park Farmers Market,Berteau & Central (NW corner of park),Sunday,10:00 AM,2:00 PM,06/07/2015,10/04/2015,http://friendsofportagepark.org,Independent,Y,41.956796,-87.767046,"(41.956796, -87.767046)"
Pilsen Night Market,18th St. & Blue Island Ave.,Wednesday,4:00 PM,8:00 PM,07/08/2015,09/02/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.8578656,-87.6611589,"(41.8578656, -87.6611589)"
Columbus Park,Harrison & Central,Tuesday,2:00 PM,7:00 PM,06/30/2015,09/29/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.87263635,-87.76501013,"(41.87263635, -87.76501013)"
Northcenter,Lincoln & Belle Plaine,Saturday,7:00 AM,1:00 PM,06/13/2015,10/24/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.95597563,-87.67910157,"(41.95597563, -87.67910157)"
Printers Row,Dearborn & Polk,Saturday,7:00 AM,1:00 PM,06/20/2015,10/24/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.87228245,-87.6291295,"(41.87228245, -87.6291295)"
Garfield Park (Monthly on 2nd Saturdays),Lake & Kedzie,Saturday,10:00 AM,1:00 PM,06/13/2015,10/10/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.8848705,-87.7062339,"(41.8848705, -87.7062339)"
Garfield Park (Monthly on 3rd Thursdays),Lake & Kedzie,Thursday,10:00 AM,1:00 PM,06/18/2015,10/15/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.8848705,-87.7062339,"(41.8848705, -87.7062339)"
Lincoln Square,Lincoln/Leland/Western,Tuesday,7:00 AM,1:00 PM,06/02/2015,10/27/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.96648354,-87.68874981,"(41.96648354, -87.68874981)"
Division Street,Division & Dearborn,Saturday,7:00 AM,1:00 PM,05/09/2015,10/31/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.90392319,-87.62998609,"(41.90392319, -87.62998609)"
La Follette Park,1333 N. Laramie Ave.,Wednesday,2:00 PM,7:00 PM,07/01/2015,09/30/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.90504906,-87.75555328,"(41.90504906, -87.75555328)"
Lincoln Park,Armitage & Orchard,Saturday,7:00 AM,1:00 PM,06/06/2015,10/31/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.918257,-87.646017,"(41.918257, -87.646017)"
Austin Town Hall,Lake & Central,Saturday,2:00 PM,7:00 PM,07/02/2015,10/01/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.88784113,-87.76525281,"(41.88784113, -87.76525281)"
Daley Plaza,Washington & Dearborn,Thursday,7:00 AM,3:00 PM,05/14/2015,10/29/2015,http://chicagofarmersmarkets.us,Downtown,Y,41.88346159,-87.63001202,"(41.88346159, -87.63001202)"
Federal Plaza,Adams & Dearborn,Tuesday,7:00 AM,3:00 PM,05/19/2015,10/27/2015,http://chicagofarmersmarkets.us,Downtown,Y,41.87912229,-87.62961735,"(41.87912229, -87.62961735)"
