,Geo_ID,Food Access Number (2015),Food Access Rate (2015),"#children in SNAP, age 0-5 (2016)","%children in SNAP, age 0-5 (2016)","#children in SNAP, age 0-17 (2016)","%children in SNAP, age 0-17 (2016)",Geo_Group,% with Private Insurance (12-16),% with Public Insurance (12-16),Uninsured (12-16)
0,0.0,231963.0,8.5,82244.0,40.0,,,Chicago,56.0,36.0,15.0
1,1.0,1135.0,2.1,1381.0,35.0,4105.0,40.0,Rogers Park,57.0,30.0,17.0
2,2.0,1983.0,2.8,2584.0,31.0,7207.0,33.0,West Ridge,51.0,40.0,16.0
3,3.0,2.0,0.0,879.0,34.0,2596.0,38.0,Uptown,62.0,29.0,14.0
4,4.0,902.0,2.3,436.0,10.0,1246.0,15.0,Lincoln Square,75.0,19.0,12.0
5,5.0,857.0,2.7,113.0,2.0,342.0,4.0,North Center,87.0,13.0,6.0
6,6.0,1008.0,1.1,202.0,4.0,519.0,5.0,Lake View,87.0,11.0,6.0
7,7.0,416.0,0.6,92.0,2.0,285.0,3.0,Lincoln Park,89.0,12.0,4.0
8,8.0,0.0,0.0,491.0,19.0,1338.0,24.0,Near North Side,86.0,20.0,5.0
9,9.0,239.0,2.1,32.0,7.0,90.0,3.0,Edison Park,86.0,19.0,4.0
10,10.0,3190.0,7.6,156.0,6.0,538.0,7.0,Norwood Park,81.0,27.0,6.0
11,11.0,432.0,1.7,310.0,21.0,817.0,18.0,Jefferson Park,69.0,28.0,13.0
12,12.0,435.0,2.4,84.0,5.0,247.0,5.0,Forest Glen,87.0,20.0,5.0
13,13.0,2002.0,11.2,359.0,21.0,1000.0,24.0,North Park,58.0,40.0,12.0
14,14.0,2.0,0.0,1614.0,36.0,4991.0,43.0,Albany Park,49.0,31.0,24.0
15,15.0,2893.0,4.5,1459.0,42.0,4273.0,36.0,Portage Park,60.0,30.0,16.0
16,16.0,2589.0,4.9,1168.0,23.0,3476.0,29.0,Irving Park,61.0,24.0,20.0
17,17.0,2846.0,6.8,605.0,26.0,1697.0,22.0,Dunning,65.0,30.0,14.0
18,18.0,0.0,0.0,369.0,37.0,1078.0,37.0,Montclare,55.0,34.0,17.0
19,19.0,0.0,0.0,3440.0,50.0,10301.0,48.0,Belmont Cragin,42.0,38.0,24.0
20,20.0,0.0,0.0,1078.0,50.0,3526.0,52.0,Hermosa,36.0,42.0,25.0
21,21.0,0.0,0.0,1033.0,35.0,3253.0,40.0,Avondale,48.0,31.0,24.0
22,22.0,0.0,0.0,1501.0,26.0,4821.0,35.0,Logan Square,65.0,23.0,14.0
23,23.0,5873.0,10.4,3247.0,58.0,9738.0,60.0,Humboldt Park,34.0,49.0,22.0
24,24.0,2721.0,3.3,1103.0,19.0,3534.0,29.0,West Town,72.0,19.0,11.0
25,25.0,21704.0,22.0,5555.0,74.0,15599.0,66.0,Austin,38.0,51.0,17.0
26,26.0,568.0,3.2,1302.0,61.0,3694.0,69.0,West Garfield Park,27.0,62.0,17.0
27,27.0,2819.0,13.7,1355.0,65.0,4042.0,71.0,East Garfield Park,32.0,57.0,15.0
