ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.
1,HS,4,4,CA,0,1,A,1/14/2011,1/14/2011,8/30/2010,NA,424,25,3,0.424,3/29/2010,8/12/2010,3,4,3/26/2010,B,Southern California,4,PUBLIC,1,K,5,927,Q,0.17,1,CA History,EXISTING,59,63,424,1,8/12/2010,8/12/2010,155,155,Elementary,Elementary,Elementary->Elementary,January,K,Elementary,K->Elementary,H,1,0.06364617,0.936507937,4,L,1
2,HC,8,8,AZ,0,7,A,1/14/2011,1/21/2011,11/15/2009,CP,2350,9,9,0.409,10/20/2009,8/10/2010,11,3,10/2/2009,C,Other,10,PUBLIC,1,7,8,850,A,0.091,0,East Coast,EXISTING,22,25,2350,2,11/17/2009,8/27/2010,423,140,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,1,0.025882353,0.88,3,L,1
3,HD,8,8,FL,0,3,A,1/15/2011,1/17/2011,10/15/2010,NA,1181,17,6,0.708,4/29/2010,8/16/2010,6,3,1/28/2010,C,Other,10,PUBLIC,1,6,8,955,O,0.042,0,East Coast,EXISTING,24,27,1181,1,9/13/2010,9/13/2010,124,124,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,1,0.02513089,0.888888889,3,L,1
4,HN,9,12,VA,1,3,B,1/15/2011,1/17/2011,1/7/2011,NA,376,0,0,0,NA,NA,1,0,10/19/2010,,Other,7,CHD,0,,NA,,,0,0,East Coast,EXISTING,18,18,376,0,NA,NA,NA,NA,High,High,High->High,January,Undefined,Undefined,Undefined->Undefined,H,0,NA,1,0,,0
5,HD,6,8,FL,0,6,T,1/16/2011,1/21/2011,9/30/2010,NA,865,40,8,0.494,3/29/2010,8/12/2010,9,8,3/23/2010,D,Other,10,PUBLIC,1,6,8,720,C,0.383,0,East Coast,EXISTING,81,89,865,1,8/24/2010,8/24/2010,145,145,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,0,0.1125,0.91011236,8,M-L,0
6,HC,10,12,LA,0,4,A,1/17/2011,1/20/2011,9/30/2010,NA,2025,9,4,0.9,3/16/2010,10/6/2010,3,1,3/16/2010,C,Other,8,PUBLIC,1,10,12,939,I,0.1,0,East Coast,NEW,10,11,2025,1,10/18/2010,10/18/2010,91,91,High,High,High->High,January,High,High,High->High,H,0,0.010649627,0.909090909,1,L,1
7,SG,11,12,MA,1,6,A,1/18/2011,1/23/2011,10/15/2010,NA,1977,16,4,0.64,2/25/2010,9/1/2010,5,2,2/25/2010,,Other,8,Catholic,1,9,12,225,G,0.08,0,Science,EXISTING,25,27,1977,1,11/16/2010,11/16/2010,63,63,High,High,High->High,January,High,High,High->High,S,0,0.111111111,0.925925926,2,S,0
8,FN,9,9,MX,0,8,A,1/24/2011,1/31/2011,10/1/2010,NA,3379,10,0,0.769,6/4/2010,8/23/2010,1,1,5/25/2010,,Other,7,CHD,1,,NA,,,0,0,East Coast,EXISTING,13,14,3379,1,9/8/2010,9/8/2010,138,138,High,High,High->High,January,Undefined,Undefined,Undefined->Undefined,I,1,NA,0.928571429,1,,0
9,CC,8,8,AZ,0,8,A,1/29/2011,2/5/2011,6/1/2010,CP,2200,30,0,0.577,2/12/2010,2/12/2010,0,4,2/11/2010,,Other,5,CHD,1,6,12,500,K,0.231,0,East Coast,EXISTING,52,56,2200,1,9/8/2010,9/8/2010,143,143,Middle,Middle,Middle->Middle,January,Middle,High,Middle->High,C,1,0.104,0.928571429,4,S-M,1
10,HD,8,8,TX,0,4,A,2/7/2011,2/10/2011,10/25/2010,NA,1428,51,1,0.773,4/1/2010,8/11/2010,1,6,3/31/2010,,Houston,5,Private non-Christian,1,PK,8,635,K,0.136,0,East Coast,EXISTING,66,72,1428,1,9/14/2010,9/14/2010,146,146,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1,0.103937008,0.916666667,6,M-L,1
